"","CXQ_T_tpm","GY_T_tpm","HCM_T_tpm","LGL_T_tpm","MYP_T_tpm","SMJ_T_tpm","XB_T_tpm","CXQ_N_tpm","GY_N_tpm","HCM_N_tpm","LGL_N_tpm","MYP_N_tpm","SMJ_N_tpm","XB_N_tpm"
"ACACB",4.95637713251596,1.91434401535504,5.34880624637629,2.64691855895024,0.768323916701418,0.889929856287452,2.67778131679062,6.96077631696098,6.93602797883392,9.54581073611309,9.48763245933471,10.0308562058779,5.46295642351287,3.01316002576317
"ACAD10",10.7388171204512,15.3147521228403,9.16938213664506,11.4699804221177,9.98821091711843,10.6791582754494,8.03334395037185,13.921552633922,15.0280606208068,15.5119424461838,15.4174027464189,13.6784402807426,17.4814605552412,9.0394800772895
"ACAD11",4.95637713251596,8.61454806909769,7.64115178053755,3.52922474526699,6.14659133361134,6.22950899401216,3.57037508905416,4.64051754464065,6.93602797883392,3.57967902604241,5.9297702870842,5.47137611229704,4.3703651388103,3.01316002576317
"ACAD8",14.0430685421286,10.5288920844527,10.6976124927526,10.587674235801,13.0615065839241,10.6791582754494,12.4963128116895,16.2418114062423,17.3400699470848,14.3187161041696,14.2314486890021,16.4141283368911,15.296277985836,16.5723801416974
"ACAD9",19.8255085300638,18.1862681458729,13.7540732049676,17.646123726335,15.3664783340284,17.798597125749,49.0926574744946,15.0816820200821,10.4040419682509,11.9322634201414,18.9752649186694,14.5903362994588,15.296277985836,15.0658001288158
"ACADM",4.13031427709663,35.4153642840683,21.3952249855052,41.4683907568871,27.659661001251,22.2482464071863,16.9592816730072,26.6829758816837,53.1762145043934,60.8545434427209,59.297702870842,45.5948009358087,45.8888339575081,25.6118602189869
"ACADS",6.60850284335461,17.2290961381954,3.82057589026878,13.2345927947512,3.07329566680567,2.66978956886236,14.2815003562166,40.6045285156057,28.9001165784747,36.9900166024382,41.5083920095894,19.1498163930396,31.6851472563746,22.5987001932238
"ACADSB",6.60850284335461,9.57172007677521,8.40526695859131,8.82306186316748,6.14659133361134,9.78922841916197,4.46296886131769,10.4411644754415,11.5600466313899,9.54581073611309,10.6735865167516,10.9427522245941,10.9259128470257,4.51974003864475
"ACADVL",185.038079613929,225.892593811895,266.676197140761,194.989667176001,103.723728754691,98.7822140479071,199.941004987033,312.074804877084,309.809249721248,316.204980633746,294.116606239376,230.709692735192,297.1848294391,340.487082911238
"ACAN",3.30425142167731,5.74303204606512,1.52823035610751,1.7646123726335,4.60994350020851,0.889929856287452,5.35556263358123,0,1.15600466313899,0,0,0,0,0
